ticker,monday_date,friday_date,dte,type,yield_target,monday_close,contract_id,strike,moneyness_actual,premium_mark,bid,ask,spread_rel,delta,iv,yield_actual,friday_close,return_pct,assigned,intrinsic_at_expiry,premium_received_mark,premium_received_bid,assignment_pnl,net_pnl_mark,net_pnl_bid,capital_per_contract,pnl_pct_capital,p_mkt_success
ALKT,2021-12-13,2021-12-17,4,CC,0.015,21.08,ALKT211217C00025000,25.0,0.18595825426944979,0.38,0.05,0.7,1.7105263157894735,0.19605,1.72215,0.018026565464895637,18.7,-0.11290322580645162,False,0.0,38.0,5.0,0.0,38.0,5.0,2108.0,0.0023719165085388993,0.8039499999999999
ALKT,2021-12-13,2021-12-17,4,CC,0.02,21.08,ALKT211217C00025000,25.0,0.18595825426944979,0.38,0.05,0.7,1.7105263157894735,0.19605,1.72215,0.018026565464895637,18.7,-0.11290322580645162,False,0.0,38.0,5.0,0.0,38.0,5.0,2108.0,0.0023719165085388993,0.8039499999999999
ALKT,2022-05-16,2022-05-20,4,CC,0.02,10.11,ALKT220520C00015000,15.0,0.4836795252225521,0.2,0.05,0.35,1.4999999999999998,0.13992,3.03919,0.019782393669634028,11.58,0.1454005934718101,False,0.0,20.0,5.0,0.0,20.0,5.0,1011.0,0.004945598417408506,0.86008
ALKT,2022-05-16,2022-05-20,4,CC,0.025,10.11,ALKT220520C00015000,15.0,0.4836795252225521,0.2,0.05,0.35,1.4999999999999998,0.13992,3.03919,0.019782393669634028,11.58,0.1454005934718101,False,0.0,20.0,5.0,0.0,20.0,5.0,1011.0,0.004945598417408506,0.86008
ALKT,2022-11-14,2022-11-18,4,CC,0.01,14.12,ALKT221118C00015000,15.0,0.062322946175637384,0.17,0.05,0.3,1.4705882352941175,0.25136,0.8051,0.012039660056657225,12.4,-0.12181303116147302,False,0.0,17.0,5.0,0.0,17.0,5.0,1412.0,0.0035410764872521247,0.74864
ALKT,2022-11-14,2022-11-18,4,CC,0.015,14.12,ALKT221118C00015000,15.0,0.062322946175637384,0.17,0.05,0.3,1.4705882352941175,0.25136,0.8051,0.012039660056657225,12.4,-0.12181303116147302,False,0.0,17.0,5.0,0.0,17.0,5.0,1412.0,0.0035410764872521247,0.74864
ALKT,2022-12-12,2022-12-16,4,CC,0.015,14.14,ALKT221216C00015000,15.0,0.06082036775106081,0.25,0.2,0.3,0.3999999999999999,0.29502,0.95144,0.01768033946251768,13.91,-0.016265912305516328,False,0.0,25.0,20.0,0.0,25.0,20.0,1414.0,0.014144271570014143,0.7049799999999999
ALKT,2022-12-12,2022-12-16,4,CC,0.02,14.14,ALKT221216C00015000,15.0,0.06082036775106081,0.25,0.2,0.3,0.3999999999999999,0.29502,0.95144,0.01768033946251768,13.91,-0.016265912305516328,False,0.0,25.0,20.0,0.0,25.0,20.0,1414.0,0.014144271570014143,0.7049799999999999
ALKT,2023-03-13,2023-03-17,4,CC,0.045,12.41,ALKT230317C00012500,12.5,0.00725221595487513,0.68,0.05,1.3,1.838235294117647,0.5106,1.39045,0.05479452054794521,12.25,-0.012892828364222453,False,0.0,68.0,5.0,0.0,68.0,5.0,1241.0,0.0040290088638195,0.48939999999999995
ALKT,2023-03-13,2023-03-17,4,CC,0.05,12.41,ALKT230317C00012500,12.5,0.00725221595487513,0.68,0.05,1.3,1.838235294117647,0.5106,1.39045,0.05479452054794521,12.25,-0.012892828364222453,False,0.0,68.0,5.0,0.0,68.0,5.0,1241.0,0.0040290088638195,0.48939999999999995
