policy,yield_target,ticker,monday_date,pnl_pct
buy_and_hold_spy,0.01,SPY,2020-01-06,0.0
buy_and_hold_spy,0.01,SPY,2020-01-13,0.013317257951788187
buy_and_hold_spy,0.01,SPY,2020-01-27,-0.013749882602944487
buy_and_hold_spy,0.01,SPY,2020-02-03,0.0019156936383808599
buy_and_hold_spy,0.01,SPY,2020-02-10,0.032628837846472185
buy_and_hold_spy,0.01,SPY,2020-02-24,-0.037881531000932014
buy_and_hold_spy,0.01,SPY,2020-03-02,-0.0411877904044833
buy_and_hold_spy,0.01,SPY,2020-03-09,-0.10771222275907408
buy_and_hold_spy,0.01,SPY,2020-03-16,-0.1062291537718496
buy_and_hold_spy,0.01,SPY,2020-03-23,-0.05221854032367255
buy_and_hold_spy,0.01,SPY,2020-03-30,0.11957729327840093
buy_and_hold_spy,0.01,SPY,2020-04-13,0.04328886766626723
buy_and_hold_spy,0.01,SPY,2020-04-20,0.01832280437331849
buy_and_hold_spy,0.01,SPY,2020-04-27,0.0168705697934453
buy_and_hold_spy,0.01,SPY,2020-05-04,-0.01075262733667288
buy_and_hold_spy,0.01,SPY,2020-05-11,0.027592362722766807
buy_and_hold_spy,0.01,SPY,2020-05-18,0.007724631957873599
buy_and_hold_spy,0.01,SPY,2020-06-01,0.0325979091442971
buy_and_hold_spy,0.01,SPY,2020-06-08,0.054535977058446566
buy_and_hold_spy,0.01,SPY,2020-06-15,-0.04990119788372241
buy_and_hold_spy,0.01,SPY,2020-06-22,0.011030797066601188
buy_and_hold_spy,0.01,SPY,2020-07-06,0.019867730764893208
buy_and_hold_spy,0.01,SPY,2020-07-13,-0.006828548248209624
buy_and_hold_spy,0.01,SPY,2020-07-20,0.02929183833039322
buy_and_hold_spy,0.01,SPY,2020-07-27,-0.0033988569204291244
buy_and_hold_spy,0.01,SPY,2020-08-03,0.017210502632900068
buy_and_hold_spy,0.01,SPY,2020-08-10,0.020949198097960253
buy_and_hold_spy,0.01,SPY,2020-08-17,0.007230244197190844
buy_and_hold_spy,0.01,SPY,2020-08-24,0.015480192617922276
buy_and_hold_spy,0.01,SPY,2020-08-31,0.019744110251016418
buy_and_hold_spy,0.01,SPY,2020-09-14,-0.033524921556135984
buy_and_hold_spy,0.01,SPY,2020-09-21,-0.03550237830404347
buy_and_hold_spy,0.01,SPY,2020-09-28,0.022308740866131903
buy_and_hold_spy,0.01,SPY,2020-10-05,0.017210502632900068
buy_and_hold_spy,0.01,SPY,2020-10-12,0.039148381957402126
buy_and_hold_spy,0.01,SPY,2020-10-19,-0.03219621319531588
buy_and_hold_spy,0.01,SPY,2020-10-26,-0.008095399204679738
buy_and_hold_spy,0.01,SPY,2020-11-02,-0.028395754620729248
buy_and_hold_spy,0.01,SPY,2020-11-09,0.0752687685360048
buy_and_hold_spy,0.01,SPY,2020-11-16,0.024749750967370945
buy_and_hold_spy,0.01,SPY,2020-11-23,-0.01578919675520214
buy_and_hold_spy,0.01,SPY,2020-11-30,0.014213341661452163
buy_and_hold_spy,0.01,SPY,2020-12-07,0.02172166129374761
buy_and_hold_spy,0.01,SPY,2020-12-14,-0.01368802519859433
buy_and_hold_spy,0.01,SPY,2021-01-04,0.012761107081578977
buy_and_hold_spy,0.01,SPY,2021-01-11,0.030589523694214887
buy_and_hold_spy,0.01,SPY,2021-01-25,0.017612198581881112
buy_and_hold_spy,0.01,SPY,2021-02-01,-0.02521321002587827
