ticker,model,n_train,n_test,price_r2,return_r2,price_mae,hit_rate
AAPL,RF,215,56,0.6737433477993069,-1.3915336951780906,12.539106421491226,0.4642857142857143
AAPL,XGB,215,56,0.7522019896443003,-0.8539611470548238,10.662637983049663,0.5178571428571429
AAPL,LGB,215,56,0.27821561768319225,-3.78705996200613,18.537963421115798,0.5535714285714286
AMAT,RF,224,56,0.47860608015237627,-5.865922246856509,28.21995998908711,0.5714285714285714
AMAT,XGB,224,56,0.28344446707409365,-8.494621890134066,33.662088939121794,0.5357142857142857
AMAT,LGB,224,56,0.31550087445300123,-8.042250343778372,32.36220642847006,0.5892857142857143
AMD,RF,224,56,0.6769624196671641,-3.0297004338977978,20.04557243346101,0.625
AMD,XGB,224,56,0.5390073989884943,-4.786292772845193,24.758862222943986,0.5714285714285714
AMD,LGB,224,56,0.4839821557512405,-5.350255298936694,25.708907441647877,0.6071428571428571
AMZN,RF,223,56,0.6125148648987406,-0.16418872234520565,8.38463277049909,0.5357142857142857
AMZN,XGB,223,56,0.3973756884219932,-0.7430053083362775,10.7471558707101,0.5178571428571429
AMZN,LGB,223,56,-0.7899111968408503,-3.887135113331687,18.67208585444103,0.6071428571428571
APLD,RF,71,56,-0.7012040920052081,-11.409378662681101,10.22797741587389,0.5178571428571429
APLD,XGB,71,56,-0.7684056562309005,-11.86170247862853,10.438484924180168,0.5
APLD,LGB,71,56,-0.8540082308452797,-12.639945157217316,10.69858362301531,0.5892857142857143
AVGO,RF,223,56,-1.0852913132065334,-24.00642323274171,76.23861721822178,0.5178571428571429
AVGO,XGB,223,56,-1.0233864817955665,-24.029311012344618,76.93169348580497,0.48214285714285715
AVGO,LGB,223,56,-2.7113291633359466,-45.857981413442396,107.7827125761056,0.5
BBAI,RF,38,53,0.456365030959047,-1.4957927679645815,0.8955496969013103,0.660377358490566
BBAI,XGB,38,53,0.5738348376424939,-1.1516340912057608,0.8036348774748029,0.5094339622641509
BBAI,LGB,38,53,-2.6041586349756884,-10.325140809143592,2.5388132996667943,0.660377358490566
COIN,RF,162,56,0.8005496339684373,-0.38820593961619276,20.494683444128505,0.625
COIN,XGB,162,56,0.7453738481230345,-0.9993416638003088,24.18005207606725,0.5535714285714286
COIN,LGB,162,56,0.6610693997775524,-1.1881459217672359,28.811492418971167,0.6071428571428571
DELL,RF,120,56,0.6556362682085981,-1.688368477275322,9.305826629829848,0.5535714285714286
DELL,XGB,120,56,0.5555392311615697,-2.079911430300559,10.660175051007952,0.5178571428571429
DELL,LGB,120,56,0.5119408180437861,-2.1747962288193343,11.200660509833247,0.5357142857142857
GME,RF,220,55,0.628074100404522,0.030277336025464008,1.111189257417649,0.5818181818181818
GME,XGB,220,55,0.022633361521873008,-2.0577481816915517,1.9175366835160685,0.509090909090909
GME,LGB,220,55,0.22541527504451686,-1.0536892165753016,1.711001179933115,0.6181818181818182
GOOGL,RF,224,56,-0.4469874086986647,-34.75069525224811,53.05182508333894,0.4642857142857143
GOOGL,XGB,224,56,-0.4223434382662197,-34.164057722089375,52.80893680027553,0.48214285714285715
GOOGL,LGB,224,56,-0.6707351878388572,-41.14175194984798,58.95966436197942,0.5178571428571429
INTC,RF,224,56,0.9391505482990415,-0.08920425557711598,1.8585997922407012,0.5178571428571429
INTC,XGB,224,56,0.9342143835977605,-0.08296781472259296,1.9736296449388775,0.5892857142857143
INTC,LGB,224,56,0.9219436219897863,-0.5856526955200596,2.2192994545031284,0.6785714285714286
IONQ,RF,87,56,0.38370692127525685,-1.0173037155926932,7.162128368786391,0.5892857142857143
IONQ,XGB,87,56,0.3639350615036687,-1.3199714065534796,7.4437006030763895,0.5714285714285714
IONQ,LGB,87,56,-0.6906434661762724,-4.289368217249304,13.019690654504034,0.6071428571428571
LRCX,RF,224,53,-0.14238843135026258,-22.14206000053628,37.946202740079805,0.5660377358490566
LRCX,XGB,224,53,-0.3535278718981014,-26.986948036739378,42.08992659370854,0.4528301886792453
LRCX,LGB,224,53,-0.26437787067795115,-24.8957730809665,40.41590992001363,0.49056603773584906
META,RF,118,53,-0.9358284603336922,-6.032033557687,75.58761862256789,0.6226415094339622
META,XGB,118,53,-1.0419717305952108,-6.4214709497116536,77.2407681447155,0.5849056603773585
META,LGB,118,53,-1.9582417396296368,-10.06425704495074,101.17403764420436,0.6037735849056604
MSFT,RF,223,56,0.35332852745425536,-4.505474904256903,34.688429915915165,0.42857142857142855
