strategy,n_trades,pct_weeks_traded,fill_rate_pct,mean_pnl_per_trade_pct,total_return,mean_weekly,std_weekly,sharpe,max_dd,n_weeks
CSP_baseline,1167,100.0,26.9,0.023,0.0095,0.0002,0.0083,0.2112,-0.0567,39
CSP_top_half,581,49.8,28.7,-0.012,-0.0024,-0.0001,0.0045,-0.0998,-0.0302,39
CSP_top_quintile,243,20.8,25.1,0.024,0.0022,0.0001,0.0023,0.178,-0.0149,39
CSP_skip_bottom_quintile,950,81.4,27.7,0.035,0.0116,0.0003,0.0066,0.3241,-0.0444,39
CC_baseline,1222,100.0,21.4,-0.136,-0.0569,-0.0015,0.0144,-0.7325,-0.1417,39
CC_bottom_half,612,50.1,21.6,-0.154,-0.0339,-0.0009,0.0084,-0.7444,-0.0821,39
CC_bottom_quintile,228,18.7,16.2,-0.325,-0.0244,-0.0006,0.0041,-1.0877,-0.0387,39
CC_skip_top_quintile,965,79.0,22.8,-0.118,-0.0424,-0.0011,0.0121,-0.6481,-0.1241,39
stack_both_baseline,1122,100.0,24.4,-0.042,-0.0198,-0.0005,0.0063,-0.5826,-0.0457,39
directional_wheel,1122,100.0,25.2,-0.128,-0.0555,-0.0014,0.0086,-1.1927,-0.0814,39
directional_wheel_quintile,435,38.8,21.1,-0.216,-0.0362,-0.0009,0.0049,-1.3575,-0.0415,39
